,MPG,Cylinders,displacement,horsepower,weight,acceleration,age
0,18.0,8,307.0,130.0,3504.0,12.0,53
1,15.0,8,350.0,165.0,3693.0,11.5,53
2,18.0,8,318.0,150.0,3436.0,11.0,53
3,16.0,8,304.0,150.0,3433.0,12.0,53
4,17.0,8,302.0,140.0,3449.0,10.5,53
5,15.0,8,429.0,198.0,4341.0,10.0,53
6,14.0,8,454.0,220.0,4354.0,9.0,53
7,14.0,8,440.0,215.0,4312.0,8.5,53
8,14.0,8,455.0,225.0,4425.0,10.0,53
9,15.0,8,390.0,190.0,3850.0,8.5,53
10,15.0,8,383.0,170.0,3563.0,10.0,53
11,14.0,8,340.0,160.0,3609.0,8.0,53
12,15.0,8,400.0,150.0,3761.0,9.5,53
13,14.0,8,455.0,225.0,3086.0,10.0,53
14,24.0,4,113.0,95.0,2372.0,15.0,53
15,22.0,6,198.0,95.0,2833.0,15.5,53
16,18.0,6,199.0,97.0,2774.0,15.5,53
17,21.0,6,200.0,85.0,2587.0,16.0,53
18,27.0,4,97.0,88.0,2130.0,14.5,53
19,26.0,4,97.0,46.0,1835.0,20.5,53
20,25.0,4,110.0,87.0,2672.0,17.5,53
21,24.0,4,107.0,90.0,2430.0,14.5,53
22,25.0,4,104.0,95.0,2375.0,17.5,53
23,26.0,4,121.0,113.0,2234.0,12.5,53
24,21.0,6,199.0,90.0,2648.0,15.0,53
25,10.0,8,360.0,215.0,4615.0,14.0,53
26,10.0,8,307.0,200.0,4376.0,15.0,53
27,11.0,8,318.0,210.0,4382.0,13.5,53
28,9.0,8,304.0,193.0,4732.0,18.5,53
29,27.0,4,97.0,88.0,2130.0,14.5,52
30,28.0,4,140.0,90.0,2264.0,15.5,52
31,25.0,4,113.0,95.0,2228.0,14.0,52
32,25.0,4,98.0,95.0,2046.0,19.0,52
33,19.0,6,232.0,100.0,2634.0,13.0,52
34,16.0,6,225.0,105.0,3439.0,15.5,52
35,17.0,6,250.0,100.0,3329.0,15.5,52
36,19.0,6,250.0,88.0,3302.0,15.5,52
37,18.0,6,232.0,100.0,3288.0,15.5,52
38,14.0,8,350.0,165.0,4209.0,12.0,52
39,14.0,8,400.0,175.0,4464.0,11.5,52
40,14.0,8,351.0,153.0,4154.0,13.5,52
41,14.0,8,318.0,150.0,4096.0,13.0,52
42,12.0,8,383.0,180.0,4955.0,11.5,52
43,13.0,8,400.0,170.0,4746.0,12.0,52
44,13.0,8,400.0,175.0,5140.0,12.0,52
45,18.0,6,258.0,110.0,2962.0,13.5,52
46,22.0,4,140.0,72.0,2408.0,19.0,52
47,19.0,6,250.0,100.0,3282.0,15.0,52
48,18.0,6,250.0,88.0,3139.0,14.5,52
49,23.0,4,122.0,86.0,2220.0,14.0,52
50,28.0,4,116.0,90.0,2123.0,14.0,52
51,30.0,4,79.0,70.0,2074.0,19.5,52
52,30.0,4,88.0,76.0,2065.0,14.5,52
53,31.0,4,71.0,65.0,1773.0,19.0,52
54,35.0,4,72.0,69.0,1613.0,18.0,52
55,27.0,4,97.0,60.0,1834.0,19.0,52
56,26.0,4,91.0,70.0,1955.0,20.5,52
57,24.0,4,113.0,95.0,2278.0,15.5,51
58,25.0,4,97.5,80.0,2126.0,17.0,51
59,23.0,4,97.0,54.0,2254.0,23.5,51
60,20.0,4,140.0,90.0,2408.0,19.5,51
61,21.0,4,122.0,86.0,2226.0,16.5,51
62,13.0,8,350.0,165.0,4274.0,12.0,51
63,14.0,8,400.0,175.0,4385.0,12.0,51
64,15.0,8,318.0,150.0,4135.0,13.5,51
65,14.0,8,351.0,153.0,4129.0,13.0,51
66,17.0,8,304.0,150.0,3672.0,11.5,51
67,11.0,8,429.0,208.0,4633.0,11.0,51
68,13.0,8,350.0,155.0,4502.0,13.5,51
69,12.0,8,350.0,160.0,4456.0,13.5,51
70,13.0,8,400.0,190.0,4422.0,12.5,51
71,19.0,3,70.0,97.0,2330.0,13.5,51
72,15.0,8,304.0,150.0,3892.0,12.5,51
73,13.0,8,307.0,130.0,4098.0,14.0,51
74,13.0,8,302.0,140.0,4294.0,16.0,51
75,14.0,8,318.0,150.0,4077.0,14.0,51
76,18.0,4,121.0,112.0,2933.0,14.5,51
77,22.0,4,121.0,76.0,2511.0,18.0,51
78,21.0,4,120.0,87.0,2979.0,19.5,51
79,26.0,4,96.0,69.0,2189.0,18.0,51
80,22.0,4,122.0,86.0,2395.0,16.0,51
